title,company,experience,salary,description,url,role
Data Analyst(English Required),Peroptyx,0 - 5 years,Not Disclosed,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Evaluator, you will have the opportunity to provide ground truth for your town, city or country.",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-maharashtra-0-to-5-years-280525029784,data analyst
Data Analyst - C,Capgemini,2 - 5 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-c-capgemini-technology-services-india-limited-mumbai-2-to-5-years-210525921617,data analyst
Data Analyst,Precision Medicine Group,0 - 2 years,Not Disclosed,4 months duration,https://www.naukri.com/job-listings-data-analyst-precision-aq-pune-0-to-2-years-310525500039,data analyst
Data Analyst - L3,Wipro,3 - 5 years,Not Disclosed,Role Purpose,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-bengaluru-3-to-5-years-020625919001,data analyst
Data Analyst,Precision For Medicine,0 - 2 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-precision-for-medicine-pune-0-to-2-years-310525501326,data analyst
Data Analyst - L3,Wipro,3 - 5 years,Not Disclosed,Role Purpose,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-bengaluru-3-to-5-years-030625918217,data analyst
Data Analyst - Who has also handled PNL,Bigbasket,5 - 9 years,5.5-9 Lacs P.A.,,https://www.naukri.com/job-listings-data-analyst-who-has-also-handled-pnl-bigbasket-bengaluru-5-to-9-years-290525034228,data analyst
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,Role Purpose,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-bengaluru-5-to-8-years-030625913805,data analyst
Data Analyst,Valita Technology,3 - 8 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-valita-technology-pvt-ltd-visakhapatnam-3-to-8-years-300525500557,data analyst
Data Analyst - L4,Wipro,5 - 8 years,Not Disclosed,Role Purpose,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-030625917083,data analyst
Data Analyst,Magic Infomedia,0 - 2 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-magic-infomedia-new-delhi-0-to-2-years-290525504067,data analyst
Staff Data Analyst,Truecaller,8 - 13 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-staff-data-analyst-true-caller-bengaluru-8-to-13-years-300525501175,data analyst
Data Analyst,Orange Business Services,2 - 3 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-m-s-orange-business-services-gurugram-2-to-3-years-020625502365,data analyst
Data Analyst - L3,Wipro,3 - 5 years,Not Disclosed,Role Purpose,https://www.naukri.com/job-listings-data-analyst-l3-wipro-limited-pune-3-to-5-years-030625916992,data analyst
Data Analyst,Arvind Limited,4 - 8 years,Not Disclosed,,https://www.naukri.com/job-listings-data-analyst-arvind-limited-bengaluru-4-to-8-years-250325020113,data analyst
Data Analyst,Posted by Teamware Solutions ( A division of Quantum Leap Consulting Private LTD...,2 - 4 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-teamware-solutions-a-division-of-quantum-leap-consulting-private-ltd-bengaluru-2-to-4-years-290525939167,data analyst
Data Analyst - Gurugram,Infosys,5 - 10 years,Not Disclosed,Responsibilities:,https://www.naukri.com/job-listings-data-analyst-gurugram-infosys-chennai-bengaluru-pan-india-5-to-10-years-210525015253,data analyst
Data Analyst,Posted by Ascendion Engineering,6 - 11 years,18-25 Lacs P.A.,,https://www.naukri.com/job-listings-data-analyst-ascendion-engineering-bengaluru-6-to-11-years-210525031499,data analyst
Data Analyst (IoT),Log9 Materials,0 - 6 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-iot-log9-materials-bengaluru-0-to-6-years-110325506630,data analyst
Data Analyst - CHN,Photon,5 - 9 years,Not Disclosed,read more,https://www.naukri.com/job-listings-data-analyst-chn-photon-infotech-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-9-years-300525501737,data analyst
Data Analyst,Bridgeloyalty Customer Experience Management Llp,0 - 1 years,Not Disclosed,4 months duration,https://www.naukri.com/job-listings-data-analyst-bridgeloyalty-customer-experience-management-llp-mumbai-0-to-1-years-270525502128,data analyst
Data Analyst,Firstsource,2 - 7 years,Not Disclosed,Role & responsibilities,https://www.naukri.com/job-listings-data-analyst-firstsource-hyderabad-bengaluru-2-to-7-years-030625020095,data analyst
Data Analyst,Posted by Trustklub Consulting,2 - 4 years,8-11 Lacs P.A.,Role & responsibilities,https://www.naukri.com/job-listings-data-analyst-trustklub-consulting-mumbai-all-areas-2-to-4-years-290525035507,data analyst
Data Analyst -Survey Administration,Oliver Wyman,2 - 4 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-survey-administration-oliver-wyman-gurugram-2-to-4-years-040625500622,data analyst
Data Analyst,Alcircle,1 - 3 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-alcircle-kolkata-1-to-3-years-290525502439,data analyst
Data Analyst- Commercial Lines,Digit Insurance,2 - 3 years,Not Disclosed,Current Role and Responsibilities:,https://www.naukri.com/job-listings-data-analyst-commercial-lines-go-digit-general-insurance-limited-bengaluru-2-to-3-years-300525930782,data analyst
Data Analyst,Pazcare,1 - 3 years,5.5-10 Lacs P.A.,Job Title: Data Analyst,https://www.naukri.com/job-listings-data-analyst-pazcare-bengaluru-1-to-3-years-220525021698,data analyst
Data Analyst,Posted by Allegis Global Solutions (AGS),12 - 22 years,17-32 Lacs P.A.,,https://www.naukri.com/job-listings-data-analyst-allegis-global-solutions-ags-hyderabad-chennai-bengaluru-12-to-22-years-020625017007,data analyst
Data Analyst,VNG Medical Innovation System,1 - 3 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-vng-medical-innovation-system-mohali-1-to-3-years-300525500602,data analyst
Data Analyst,Bandhan Amc,2 - 6 years,Not Disclosed,Role & responsibilities,https://www.naukri.com/job-listings-data-analyst-bandhan-amc-mumbai-suburban-mumbai-all-areas-2-to-6-years-030625031134,data analyst
Data Analyst,Posted by Teamware Solutions ( A division of Quantum Leap Consulting Private LTD...,2 - 4 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-teamware-solutions-a-division-of-quantum-leap-consulting-private-ltd-chennai-2-to-4-years-290525938586,data analyst
Data Analyst,Posted by Teamware Solutions ( A division of Quantum Leap Consulting Private LTD...,2 - 4 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-teamware-solutions-a-division-of-quantum-leap-consulting-private-ltd-karnataka-2-to-4-years-290525934221,data analyst
Data Analyst,Posted by Lorven Technologies Private Limited,5 - 10 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-lorven-technologies-private-limited-chennai-5-to-10-years-230525922954,data analyst
Data Analyst,Posted by Teamware Solutions ( A division of Quantum Leap Co     nsulting Privat...,2 - 4 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-india-2-to-4-years-290525933058,data analyst
Data Analyst,Midland Channel Management,2 - 5 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-midland-credit-management-gurugram-2-to-5-years-020625502317,data analyst
Data Analyst,Equifax Credit Information Services Private Limited,2 - 7 years,Not Disclosed,read more,https://www.naukri.com/job-listings-data-analyst-equifax-credit-information-services-private-limited-pune-2-to-7-years-020625500677,data analyst
Data Analyst,Posted by IDESLABS PRIVATE LIMITED,6 - 11 years,Not Disclosed,"Looking for 6+ years of Experiece candidate working on Data and Analytics.Advance working knowledge and exp with relationship database management system in designing schema, SQL Authoring and performance oprimization. Hands-on Experience on Snowflake is highly desirableCan write complex queries, views and Stored Procedures.Should must have hands-on experince on Python (NumPuy, Pandas etc.)Should must have working knowledge of ETL using any ETL tool such as Infotmatica.Technical expertise and problem solving skills.Excellent communication skill and presentation skill",https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-mumbai-hyderabad-6-to-11-years-040625929698,data analyst
Translator/Data Analyst (Spanish),S&P Global Market Intelligence,2 - 7 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-translator-data-analyst-spanish-sp-capital-iq-india-pvt-ltd-hyderabad-2-to-7-years-040625926085,data analyst
Translator/Data Analyst (Turkish),S&P Global Market Intelligence,2 - 7 years,Not Disclosed,IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-translator-data-analyst-turkish-sp-capital-iq-india-pvt-ltd-hyderabad-2-to-7-years-040625926072,data analyst
Data Analyst,Posted by Ashkom,1 - 2 years,Not Disclosed,Designation:- Data Analytics,https://www.naukri.com/job-listings-data-analyst-ashkom-mumbai-all-areas-1-to-2-years-280525923256,data analyst
Data Analyst,Posted by Ashkom,1 - 5 years,1-3.25 Lacs P.A.,Designation : - Data Analytics,https://www.naukri.com/job-listings-data-analyst-ashkom-mumbai-all-areas-1-to-5-years-280525923310,data analyst
Data Scientist,AMERICAN EXPRESS,1 - 3 years,15-18 Lacs P.A.,You Lead the Way. Weve Got Your Back.,https://www.naukri.com/job-listings-data-scientist-american-express-gurugram-delhi-ncr-1-to-3-years-040625027344,data scientist
