id,title,company,experience,salary,location,description,url,role,skills,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
13,Data Analyst,Victrix Systems And Labs,8 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune","Responsibilities :- Data Gathering/Data Analysis/Data Modelling/Data Cleansing/Data formatting- AS IS and TO-BE business process analysis and process modelling including end-to-end data flows- Authoring data migration plan/cutover plan- Support change management activities- Supporting solution development team with data insights as requiredMandatory Skills/Experience :- HCM project experience including upgrade/improvement projects- People/HR data & process knowledge and experience- Oracle HCM Cloud skills and experience- BI Dashboard skills and experience - ability to create/update- Demonstrated experience developing cutover plans/data migration plans- Ability to present complex data in easily consumable format to executive levelDesirable/Preferred Skills :- R-Studio skills and experience to code level- Knowledge of coding languages - SQL, Python, RIdeal Candidate :- Strong customer facing skills - high standard of verbal/written communication skills- Self-starter with ability to work independently to lead data related work within large HCM project.- Ability to work across multiple initiatives simultaneously- Flexibility in work hours with global project team and business- Ability to work efficiently and effectively via remote work preferably working on US/Canada time zone).",https://www.naukri.com/job-listings-data-analyst-victrix-systems-and-labs-pune-8-to-10-years-060625918706,Data Analyst,,,,,9.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
14,Data Analyst (8+ years of experience),Western Digital,0 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",ESSENTIAL DUTIES AND RESPONSIBILITIES,https://www.naukri.com/job-listings-data-analyst-8-years-of-experience-western-digital-bengaluru-0-to-7-years-050625500113,Data Analyst,"Supply chain, Data analysis, ERP, Data management, Data modeling, Data quality, Data mining, Business intelligence, CRM, SQL",,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Supply Chain, Data Analysis, Erp, Data Management, Data Modeling, Data Quality, Data Mining, Business Intelligence, Crm, Sql"
15,Data Analyst,Posted by GEETHA TECHNOLOGY SOLUTIONS PRIVATE LIMITED,4 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-geetha-technology-solutions-private-limited-chennai-4-to-6-years-050625923205,Data Analyst,,,,,5.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
16,Data Analyst with AWS,"Epigee, Inc",4 - 9 years,12-15 Lacs P.A.,Remote,"Job Title: Data Analyst (Python, AWS, Docker, Kubernetes)",https://www.naukri.com/job-listings-data-analyst-with-aws-epigee-inc-india-4-to-9-years-060625014578,Data Analyst,,12.0,15.0,13.0,6.5,Remote,
17,Data Analyst,Victrix Systems And Labs,8 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Surat","Experience - 8-10 years Responsibilities :- Data Gathering/Data Analysis/Data Modelling/Data Cleansing/Data formatting- AS IS and TO-BE business process analysis and process modelling including end-to-end data flows- Authoring data migration plan/cutover plan- Support change management activities- Supporting solution development team with data insights as requiredMandatory Skills/Experience :- HCM project experience including upgrade/improvement projects- People/HR data & process knowledge and experience- Oracle HCM Cloud skills and experience- BI Dashboard skills and experience - ability to create/update- Demonstrated experience developing cutover plans/data migration plans- Ability to present complex data in easily consumable format to executive levelDesirable/Preferred Skills :- R-Studio skills and experience to code level- Knowledge of coding languages - SQL, Python, RIdeal Candidate :- Strong customer facing skills - high standard of verbal/written communication skills- Self-starter with ability to work independently to lead data related work within large HCM project.- Ability to work across multiple initiatives simultaneously- Flexibility in work hours with global project team and business- Ability to work efficiently and effectively via remote work preferably working on US/Canada time zone).",https://www.naukri.com/job-listings-data-analyst-victrix-systems-and-labs-surat-8-to-10-years-060625927105,Data Analyst,,,,,9.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune, Surat",
18,Data Analyst,Victrix Systems And Labs,8 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai","Experience - 8-10 years Responsibilities :- Data Gathering/Data Analysis/Data Modelling/Data Cleansing/Data formatting- AS IS and TO-BE business process analysis and process modelling including end-to-end data flows- Authoring data migration plan/cutover plan- Support change management activities- Supporting solution development team with data insights as requiredMandatory Skills/Experience :- HCM project experience including upgrade/improvement projects- People/HR data & process knowledge and experience- Oracle HCM Cloud skills and experience- BI Dashboard skills and experience - ability to create/update- Demonstrated experience developing cutover plans/data migration plans- Ability to present complex data in easily consumable format to executive levelDesirable/Preferred Skills :- R-Studio skills and experience to code level- Knowledge of coding languages - SQL, Python, RIdeal Candidate :- Strong customer facing skills - high standard of verbal/written communication skills- Self-starter with ability to work independently to lead data related work within large HCM project.- Ability to work across multiple initiatives simultaneously- Flexibility in work hours with global project team and business- Ability to work efficiently and effectively via remote work preferably working on US/Canada time zone).",https://www.naukri.com/job-listings-data-analyst-victrix-systems-and-labs-chennai-8-to-10-years-060625926184,Data Analyst,,,,,9.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
19,Data Analyst,Victrix Systems And Labs,8 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","Experience - 8-10 years Responsibilities :- Data Gathering/Data Analysis/Data Modelling/Data Cleansing/Data formatting- AS IS and TO-BE business process analysis and process modelling including end-to-end data flows- Authoring data migration plan/cutover plan- Support change management activities- Supporting solution development team with data insights as requiredMandatory Skills/Experience :- HCM project experience including upgrade/improvement projects- People/HR data & process knowledge and experience- Oracle HCM Cloud skills and experience- BI Dashboard skills and experience - ability to create/update- Demonstrated experience developing cutover plans/data migration plans- Ability to present complex data in easily consumable format to executive levelDesirable/Preferred Skills :- R-Studio skills and experience to code level- Knowledge of coding languages - SQL, Python, RIdeal Candidate :- Strong customer facing skills - high standard of verbal/written communication skills- Self-starter with ability to work independently to lead data related work within large HCM project.- Ability to work across multiple initiatives simultaneously- Flexibility in work hours with global project team and business- Ability to work efficiently and effectively via remote work preferably working on US/Canada time zone).",https://www.naukri.com/job-listings-data-analyst-victrix-systems-and-labs-bengaluru-8-to-10-years-060625927078,Data Analyst,,,,,9.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
20,Data Analyst(English Required),Peroptyx,0 - 5 years,Not Disclosed,Remote,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Evaluator, you will have the opportunity to provide ground truth for your town, city or country.",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-maharashtra-0-to-5-years-280525029784,Data Analyst,,,,,2.5,Remote,
21,Data Analyst,Precision Medicine Group,0 - 2 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-precision-aq-pune-0-to-2-years-310525500039,Data Analyst,"Management accounting, ERP, Data validation, Excel, ERP system, VLOOKUP, data integrity, Data Analyst, MS Office, Data entry",,,,1.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Management Accounting, Erp, Data Validation, Excel, Erp System, Vlookup, Data Integrity, Data Analyst, Ms Office, Data Entry"
22,Data Analyst,Precision For Medicine,0 - 2 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-analyst-precision-for-medicine-pune-0-to-2-years-310525501326,Data Analyst,"Management accounting, ERP, Data validation, Excel, ERP system, VLOOKUP, data integrity, Data Analyst, MS Office, Data entry",,,,1.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Management Accounting, Erp, Data Validation, Excel, Erp System, Vlookup, Data Integrity, Data Analyst, Ms Office, Data Entry"
