id,title,company,experience,salary,location,description,url,role,skills,min_salary,max_salary,avg_salary,years_exp,clean_location,clean_skills
107,Sr Data Scientist - Advanced Machine Learning,Target,3 - 4 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-3-to-4-years-050625924483,Data Scientist,,,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
108,Data Scientist,Simplify Healthcare,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune( Hadapsar, Kharadi, Keshav Nagar, Vishrantwadi, Dhanori, Mundhwa, Viman Nagar )",,https://www.naukri.com/job-listings-data-scientist-simplify-healthcare-pune-5-to-10-years-290525000185,Data Scientist,,,,,7.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
109,Technical Specialist - Data Scientist,Fidelity International,4 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-technical-specialist-data-scientist-fil-india-business-and-research-services-private-limited-gurugram-4-to-7-years-060625923708,Data Scientist,,,,,5.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
110,Data Scientist,Magicbricks,4 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Location: Bangalore,https://www.naukri.com/job-listings-data-scientist-magicbricks-bengaluru-4-to-8-years-060625011599,Data Scientist,,,,,6.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
111,Data Scientist,S&P Global Market Intelligence,2 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",Grade Level (for internal use):,https://www.naukri.com/job-listings-data-scientist-sp-capital-iq-india-pvt-ltd-gurugram-2-to-7-years-050625913761,Data Scientist,,,,,4.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune",
112,Data Scientist,Caterpillar Inc,4 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Job Summary,https://www.naukri.com/job-listings-data-scientist-caterpillar-india-engineering-solutions-private-limited-bengaluru-4-to-8-years-060625913876,Data Scientist,,,,,6.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
113,Data Scientist / Machine Learning Professional,Infosys,6 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-machine-learning-professional-infosys-limited-bengaluru-6-to-8-years-060625924056,Data Scientist,,,,,7.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
114,Data Scientist - AI,Standard Chartered,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","We are looking for a Data Scientist with strong data and analytical skills,  you will be tasked with managing all aspects any new work/project assessments thoroughly from inception to delivery.  You will need to build close working relationships with COO business and CDO in order to gather specific modelling requirements and define and scope the work.  In addition,  as Data Scientist you will also work closely with internal staff,  clients and 3rd parties.",https://www.naukri.com/job-listings-data-scientist-ai-standard-chartered-life-and-careers-bengaluru-3-to-7-years-030625500283,Data Scientist,"Microstrategy, Data analysis, Change management, Database design, Windows, Stored procedures, Business intelligence, Data mining, SQL, Python",,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Microstrategy, Data Analysis, Change Management, Database Design, Windows, Stored Procedures, Business Intelligence, Data Mining, Sql, Python"
115,Data Scientist,Wipro,9 - 14 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune, Bengaluru, Delhi / NCR",,https://www.naukri.com/job-listings-data-scientist-wipro-pune-bengaluru-delhi-ncr-9-to-14-years-280425021355,Data Scientist,,,,,11.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
116,Data Scientist,Uplers,3 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","Must have skills required :SQL, Python, Healthcare Data, Claims data, Emr, healthcare data standards, large relational databasesGood to have skills :RWD, RWE, HEORWe are looking for a highly motivated real-world evidence (RWE) data scientist who has experience in generating insights/evidence from claims and EHR real world data (RWD) to join our growing Bangalore-based RWE analytics team at Clarivate.",https://www.naukri.com/job-listings-data-scientist-uplers-solutions-private-limited-bengaluru-3-to-8-years-050625922264,Data Scientist,,,,,5.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
117,Data Scientist,Icdata Services,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",,https://www.naukri.com/job-listings-data-scientist-icdata-services-bengaluru-5-to-10-years-020625018883,Data Scientist,,,,,7.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
118,Data Scientist,Clifyx Technology,8 - 13 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-clifyx-technology-bengaluru-8-to-13-years-060625502003,Data Scientist,"continuous integration, deep learning, Staffing, Data modeling, Neural networks, data manipulation, JSON, Natural language processing, SQL, Python",,,,10.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Continuous Integration, Deep Learning, Staffing, Data Modeling, Neural Networks, Data Manipulation, Json, Natural Language Processing, Sql, Python"
119,Data Scientist,UPL Limited,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",,https://www.naukri.com/job-listings-data-scientist-upl-limited-bengaluru-3-to-6-years-270525041364,Data Scientist,"advanced analytics, python, exploration, data analysis, analytical, scala, mathematics, data processing, machine learning, data engineering, research, analytics, r, system, data science, operations research, statistical analyses, business insights, model development, agile, statistics",,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Advanced Analytics, Python, Exploration, Data Analysis, Analytical, Scala, Mathematics, Data Processing, Machine Learning, Data Engineering, Research, Analytics, R, System, Data Science, Operations Research, Statistical Analyses, Business Insights, Model Development, Agile, Statistics"
120,Data Scientist,UPL Limited,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Job Title: Data Scientist,https://www.naukri.com/job-listings-data-scientist-upl-limited-bengaluru-3-to-6-years-270525041351,Data Scientist,"advanced analytics, python, exploration, data analysis, analytical, scala, mathematics, data processing, machine learning, data engineering, research, analytics, r, system, operations research, science, statistical analyses, business insights, model development, agile, statistics",,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Advanced Analytics, Python, Exploration, Data Analysis, Analytical, Scala, Mathematics, Data Processing, Machine Learning, Data Engineering, Research, Analytics, R, System, Operations Research, Science, Statistical Analyses, Business Insights, Model Development, Agile, Statistics"
121,Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-020625910026,Data Scientist,,,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
122,Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru","In your role, you may be responsible for:",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-030625915041,Data Scientist,,,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
123,Data Scientist 1,Xoom,1 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-1-xoom-inc-bengaluru-1-to-3-years-020625500548,Data Scientist,"Analytical skills, Diversity and Inclusion, Financial Instruments, Wellness, Data Analyst, Risk management, big data, payment solutions, Operations, SQL",,,,2.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Analytical Skills, Diversity And Inclusion, Financial Instruments, Wellness, Data Analyst, Risk Management, Big Data, Payment Solutions, Operations, Sql"
124,Quantitative Analyst/Data Scientist,NSM Services,2 - 5 years,14-20 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",Greetings From Mr.Cooper !!!,https://www.naukri.com/job-listings-quantitative-analyst-data-scientist-nsm-services-chennai-2-to-5-years-060625019076,Data Scientist,,14.0,20.0,17.0,3.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
125,Data Scientist - L3,Wipro,3 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-bengaluru-3-to-5-years-230525925414,Data Scientist,,,,,4.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
126,Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-040625926442,Data Scientist,,,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
127,Data Scientist,Johnson Controls,1 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Pune",,https://www.naukri.com/job-listings-data-scientist-johnson-controls-pune-1-to-7-years-050625500187,Data Scientist,"Computer science, SOA, GCP, Machine learning, Deployment, Sensors, Test cases, JIRA, Python, Predictive maintenance",,,,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Soa, Gcp, Machine Learning, Deployment, Sensors, Test Cases, Jira, Python, Predictive Maintenance"
128,Data Scientist 3,Xoom,4 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-3-xoom-inc-chennai-bengaluru-4-to-6-years-020625500545,Data Scientist,"Computer science, Automation, Team management, Analytical, Back office, Data mining, Risk management, Continuous improvement, Forecasting, SQL",,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Automation, Team Management, Analytical, Back Office, Data Mining, Risk Management, Continuous Improvement, Forecasting, Sql"
129,Data scientist - Gen AI,Mindsprint,5 - 8 years,15-20 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",,https://www.naukri.com/job-listings-data-scientist-gen-ai-mindsprint-chennai-5-to-8-years-050625010605,Data Scientist,,15.0,20.0,17.0,6.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
130,Data Scientist,Hindustan Field Services,2 - 3 years,12-16 Lacs P.A.,Remote,Role & responsibilities,https://www.naukri.com/job-listings-data-scientist-hindustan-field-services-gurugram-2-to-3-years-070225015435,Data Scientist,,12.0,16.0,14.0,2.5,Remote,
131,Data Scientist-Artificial Intelligence,IBM,10 - 15 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-10-to-15-years-020625910058,Data Scientist,,,,,12.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
132,"Data Scientist II, Payment Risk Machine Learning",Amazon,1 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",read more,https://www.naukri.com/job-listings-data-scientist-ii-risk-machine-learning-amazon-development-centre-india-pvt-ltd-hyderabad-1-to-9-years-040625501400,Data Scientist,"Mining, Automation, Data analysis, SAS, Analytical, Machine learning, Perl, Data quality, MATLAB, Python",,,,5.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Mining, Automation, Data Analysis, Sas, Analytical, Machine Learning, Perl, Data Quality, Matlab, Python"
133,"Data Scientist II, Payment Risk Machine Learning",Amazon,1 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",read more,https://www.naukri.com/job-listings-data-scientist-ii-risk-machine-learning-amazon-development-centre-india-pvt-ltd-hyderabad-1-to-9-years-040625501399,Data Scientist,"Mining, Automation, Data analysis, SAS, Analytical, Machine learning, Data quality, MATLAB, Operations, Python",,,,5.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Mining, Automation, Data Analysis, Sas, Analytical, Machine Learning, Data Quality, Matlab, Operations, Python"
134,Lead Machine Learning Engineer / Lead Data Scientist,Vakilsearch,7 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",,https://www.naukri.com/job-listings-lead-machine-learning-engineer-lead-data-scientist-vakilsearch-bengaluru-7-to-10-years-030625029080,Data Scientist,,,,,8.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
135,Data Scientist,Cognizant,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",Job Role: Data Scientist,https://www.naukri.com/job-listings-data-scientist-cognizant-bengaluru-5-to-10-years-040625032288,Data Scientist,"python, github, analytical, python development, jupyter notebook, numpy, machine learning, data engineering, artificial intelligence, pandas, analytics, deep learning, tensorflow, tableau, data science, matplotlib, pytorch, software engineering, data visualization, programming, statistics",,,,7.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Python, Github, Analytical, Python Development, Jupyter Notebook, Numpy, Machine Learning, Data Engineering, Artificial Intelligence, Pandas, Analytics, Deep Learning, Tensorflow, Tableau, Data Science, Matplotlib, Pytorch, Software Engineering, Data Visualization, Programming, Statistics"
136,Data Scientist,Lericon Informatics,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai, Delhi / NCR, Bengaluru","Job Summary:We are seeking a skilled Data Scientist with experience in both Python and SAS to join our high-performing analytics team. The ideal candidate will be adept at developing predictive models, analyzing large datasets, and delivering actionable insights using modern data science tools and platforms.",https://www.naukri.com/job-listings-data-scientist-lericon-informatics-pvt-ltd-mumbai-delhi-ncr-bengaluru-2-to-6-years-060625918930,Data Scientist,,,,,4.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
137,Data Scientist,Posted by MAXIS CLINICAL SCIENCES LLP,3 - 5 years,Not Disclosed,Remote,Workdays: Mon to Fri,https://www.naukri.com/job-listings-data-scientist-maxis-clinical-sciences-llp-bengaluru-3-to-5-years-060625914450,Data Scientist,,,,,4.0,Remote,
138,Data Scientist,Quarks Technosoft,5 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-quarks-bengaluru-5-to-6-years-060625502558,Data Scientist,"deep learning, data science, spark, GCP, Cloud, cloud storage, Data processing, Transformers, SQL, Python",,,,5.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Deep Learning, Data Science, Spark, Gcp, Cloud, Cloud Storage, Data Processing, Transformers, Sql, Python"
139,Data Scientists with AI and Generative Model experience,Genpact,3 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Kolkata, Hyderabad, Bengaluru",,https://www.naukri.com/job-listings-data-scientists-with-ai-and-generative-model-experience-genpact-kolkata-hyderabad-bengaluru-3-to-6-years-270525041000,Data Scientist,,,,,4.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
140,Data Scientist 1,Paypal,2 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-1-paypal-holdings-inc-bengaluru-2-to-5-years-280525501785,Data Scientist,"Unix, SAS, Risk analytics, Process improvement, Analytical, Data mining, Risk management, Operations, Analytics, SQL",,,,3.5,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Unix, Sas, Risk Analytics, Process Improvement, Analytical, Data Mining, Risk Management, Operations, Analytics, Sql"
141,Data Scientist,BNP Paribas,1 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai",Job Insights:,https://www.naukri.com/job-listings-data-scientist-bnp-paribas-mumbai-1-to-3-years-040625014314,Data Scientist,,,,,2.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
142,Data Scientist,Continental Automotive India,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-continental-automotive-technical-center-bengaluru-3-to-7-years-240525500646,Data Scientist,"Computer science, Data analysis, Usage, Networking, data science, Machine learning, Data quality, Data mining, Operations, Python",,,,5.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune","Computer Science, Data Analysis, Usage, Networking, Data Science, Machine Learning, Data Quality, Data Mining, Operations, Python"
143,Data Scientist/ML Engineer,Connectio It,6 - 8 years,15-25 Lacs P.A.,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",Role & responsibilities,https://www.naukri.com/job-listings-data-scientist-ml-engineer-connectio-it-hyderabad-6-to-8-years-050625014268,Data Scientist,,15.0,25.0,20.0,7.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
144,Data Scientist - L3,Wipro,3 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Chennai",read more,https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-chennai-3-to-5-years-230525923874,Data Scientist,,,,,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
145,Data Scientist,BNP Paribas,1 - 3 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai",Job Insights:,https://www.naukri.com/job-listings-data-scientist-bnp-paribas-mumbai-1-to-3-years-040625014175,Data Scientist,,,,,2.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
146,Data Scientist,Capgemini,6 - 9 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-mumbai-6-to-9-years-020625909629,Data Scientist,,,,,7.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
147,Data Scientist-Artificial Intelligence,IBM,3 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",read more,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-3-to-7-years-020625910027,Data Scientist,,,,,5.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
148,Data Scientist-Artificial Intelligence,IBM,5 - 7 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Bengaluru",read more,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-020625910042,Data Scientist,,,,,6.0,"Bengaluru, Chennai, Delhi, Hyderabad, Mumbai, Pune",
149,Data Scientist,Blenheim Chalcot,2 - 6 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Mumbai",read more,https://www.naukri.com/job-listings-data-scientist-blenheim-chalcot-group-mumbai-2-to-6-years-050625503304,Data Scientist,"advanced analytics, Machine learning, Manager Technology, power bi, Business strategy, Credit risk, Continuous improvement, Stakeholder management, SQL, Recruitment",,,,4.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune","Advanced Analytics, Machine Learning, Manager Technology, Power Bi, Business Strategy, Credit Risk, Continuous Improvement, Stakeholder Management, Sql, Recruitment"
150,Data Scientist,Posted by IDESLABS PRIVATE LIMITED,4 - 8 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Hyderabad",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-ideslabs-private-limited-hyderabad-4-to-8-years-050625922309,Data Scientist,,,,,6.0,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
151,Data Scientist,McCormick,5 - 10 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, Gurugram",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-mccormick-gurugram-5-to-10-years-050625502683,Data Scientist,"Supply chain, Computer science, advanced analytics, Interpersonal skills, data science, Analytical, Machine learning, Automation tools, Data analytics, Operations",,,,7.5,"Chennai, Delhi, Gurugram, Hyderabad, Mumbai, Pune","Supply Chain, Computer Science, Advanced Analytics, Interpersonal Skills, Data Science, Analytical, Machine Learning, Automation Tools, Data Analytics, Operations"
152,Data Scientist,Posted by Lorven Technologies Private Limited,0 - 5 years,Not Disclosed,"Jobs in Delhi, Jobs in Mumbai, Jobs in Bangalore, Jobs in Hyderabad, Jobs in Chennai, Jobs in Pune, India",IEIL has taken all reasonable steps to ensure that information on this site is authentic. Applicants are advised to research bonafides of advertisers independently. IEIL shall not have any responsibility in this regard. We also recommend that you visit Security Guidelines and Terms and Conditions for more comprehensive information on this aspect.Please note that Naukri will not be responsible for any information you share on the company platform.,https://www.naukri.com/job-listings-data-scientist-lorven-technologies-private-limited-india-0-to-5-years-230525922836,Data Scientist,,,,,2.5,"Chennai, Delhi, Hyderabad, Mumbai, Pune",
